date_time	id	temperature	humidity	photoluminescence
2018-12-11 13:03:16	141566	81.6286	0.5254	29.0312
2018-12-11 13:03:18	141567	81.6286	0.5254	28.8129
2018-12-11 13:03:20	141568	81.6286	0.5254	28.2309
2018-12-11 13:03:21	141569	81.6286	0.5254	28.631
2018-12-11 13:03:23	141570	81.6286	0.5254	27.7215
2018-12-11 13:03:25	141571	81.6286	0.5254	28.2309
2018-12-11 13:03:27	141572	81.6286	0.5254	28.34
2018-12-11 13:03:29	141573	81.6286	0.5254	28.8857
2018-12-11 13:03:31	141574	81.6286	0.5254	28.8857
2018-12-11 13:03:33	141575	81.6286	0.5254	29.104
2018-12-11 13:03:34	141576	81.6286	0.5254	28.631
2018-12-11 13:03:36	141577	81.6286	0.5254	29.5405
2018-12-11 13:03:38	141578	81.6286	0.5254	29.5042
2018-12-11 13:03:40	141579	81.6286	0.5254	29.104
2018-12-11 13:03:42	141580	81.6286	0.5254	29.7952
2018-12-11 13:03:44	141581	81.6286	0.5254	29.1767
2018-12-11 13:03:46	141582	81.6286	0.5254	29.4314
2018-12-11 13:03:47	141583	81.6286	0.5254	29.2859
2018-12-11 13:03:49	141584	81.6286	0.5254	28.0126
2018-12-11 13:03:51	141585	81.6286	0.5254	27.8671
2018-12-11 13:03:53	141586	81.6286	0.5254	28.2309
2018-12-11 13:03:55	141587	81.6286	0.5254	28.4491
2018-12-11 13:03:57	141588	81.6286	0.5254	28.5219
2018-12-11 13:03:58	141589	81.6286	0.5254	29.6133
2018-12-11 13:04:00	141590	81.6286	0.5254	29.9407
2018-12-11 13:04:02	141591	81.6286	0.5254	29.4314
2018-12-11 13:04:04	141592	81.6286	0.5254	29.395
2018-12-11 13:04:06	141593	81.6286	0.5254	28.4855
2018-12-11 13:04:08	141594	81.6286	0.5254	28.9585
2018-12-11 13:04:10	141595	81.6286	0.5254	29.3586
2018-12-11 13:04:11	141596	81.6286	0.5254	29.4314
2018-12-11 13:04:13	141597	81.6286	0.5254	29.1767
2018-12-11 13:04:15	141598	81.6286	0.5254	30.4136
2018-12-11 13:04:17	141599	81.6286	0.5254	29.2131
2018-12-11 13:04:19	141600	81.6286	0.5254	29.7224
2018-12-11 13:04:21	141601	81.6286	0.5254	30.8502
2018-12-11 13:04:23	141602	81.6286	0.5254	31.8688
2018-12-11 13:04:24	141603	81.6286	0.5254	30.6683
2018-12-11 13:04:26	141604	81.6286	0.5254	30.6683
2018-12-11 13:04:28	141605	81.6286	0.5254	30.7047
2018-12-11 13:04:30	141606	81.6286	0.5254	30.6319
2018-12-11 13:04:32	141607	81.6286	0.5254	29.0312
2018-12-11 13:04:34	141608	81.6286	0.5254	30.45
